epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1209.8,2.55932,2.59807,3.24419,0.4294,0.2957,0.30908,0.21392,1.63914,7.81921,3.18413,0.00198701,0.00198701,0.0821169
2,2080.92,1.96448,1.99336,2.50316,0.44694,0.25444,0.27532,0.14817,1.6799,6.22117,2.31107,0.00398603,0.00398603,0.0641159
3,2919.55,1.72378,1.84206,2.22665,0.98323,0.30984,0.35139,0.28752,1.11718,2.1697,1.57503,0.00598111,0.00598111,0.046111
4,3758.01,1.60481,1.73129,2.05698,0.97507,0.27419,0.34376,0.24954,1.16883,1.71005,1.58451,0.00796931,0.00796931,0.0280992
5,4620.42,1.5335,1.70481,2.00165,0.92204,0.30645,0.35971,0.2835,0.90577,1.39953,1.25297,0.00994768,0.00994768,0.0100775
6,5505.6,1.35137,1.54932,1.8547,0.89749,0.28495,0.38665,0.28619,1.02413,1.40842,1.32582,0.0099385,0.0099385,0.0099385
7,6355.66,1.34179,1.51911,1.81991,0.874,0.37634,0.3829,0.303,0.87772,1.96351,1.13142,0.00991152,0.00991152,0.00991152
8,7199.86,1.18766,1.40405,1.70536,0.47692,0.40948,0.44406,0.36021,0.72631,1.75593,0.93823,0.0098797,0.0098797,0.0098797
9,8096.81,1.35898,1.5328,1.80246,0.91975,0.3172,0.38894,0.31206,0.82671,1.37618,1.03492,0.00984307,0.00984307,0.00984307
10,9057.35,1.23675,1.41917,1.70377,0.56327,0.43273,0.53906,0.39204,0.75494,0.94597,0.96134,0.00980167,0.00980167,0.00980167
11,9946.85,1.15498,1.30876,1.635,0.50457,0.38697,0.47956,0.35185,0.84241,0.99694,1.06872,0.00975553,0.00975553,0.00975553
12,10704.3,1.04626,1.20842,1.53656,0.68885,0.46574,0.50885,0.38464,0.72292,1.10529,0.95515,0.0097047,0.0097047,0.0097047
13,11435.5,1.10116,1.23941,1.57062,0.50068,0.45989,0.48846,0.38082,0.66512,0.79719,0.82751,0.00964923,0.00964923,0.00964923
14,12164.3,1.08219,1.22177,1.57837,0.49089,0.53578,0.49567,0.36665,0.68886,0.9686,0.82979,0.00958918,0.00958918,0.00958918
15,12886.4,1.15556,1.28957,1.60005,0.64446,0.35034,0.4201,0.34999,0.69901,1.00468,0.92709,0.00952461,0.00952461,0.00952461
16,13598.6,1.04844,1.23323,1.51701,0.65765,0.45889,0.51294,0.40384,0.69714,0.8651,0.92872,0.00945558,0.00945558,0.00945558
17,14310,1.05939,1.19568,1.54227,0.62817,0.43046,0.49468,0.39441,0.63867,0.83921,0.8156,0.00938215,0.00938215,0.00938215
18,15030.9,0.98509,1.1146,1.47599,0.48229,0.47474,0.46348,0.37224,0.72263,0.95112,0.90689,0.00930441,0.00930441,0.00930441
19,15748.5,0.99763,1.17884,1.47624,0.53788,0.42417,0.51616,0.40546,0.58609,0.79464,0.76328,0.00922242,0.00922242,0.00922242
20,16464.8,1.02126,1.18719,1.49058,0.966,0.3685,0.48894,0.39893,0.57383,0.77788,0.7663,0.00913627,0.00913627,0.00913627
21,17176.4,1.0001,1.12519,1.47574,0.55018,0.481,0.5223,0.39668,0.61287,0.72672,0.78169,0.00904604,0.00904604,0.00904604
22,17887.3,0.94712,1.07177,1.4162,0.54354,0.48993,0.51079,0.38388,0.59918,0.8641,0.77358,0.00895182,0.00895182,0.00895182
